App,Record App,Replay App,Run Count,Mismatch
com.mkulesh.micromath.plus,Release_v2_21_0,Release_v2_22_0,2,Locator Invalidity
com.mkulesh.micromath.plus,Release_v2_20_1,Release_v2_22_1,1,Locator Invalidity
com.mkulesh.micromath.plus,Release_v2_20_1,Release_v2_23_0,2,Widget Occlusion
io.github.muntashirakon.AppManager,AppManager_v2_5_22,App_Manager_v2_6_5,1,Widget Occlusion
io.github.muntashirakon.AppManager,App_Manager_v2_6_0_Stable,App_Manager_v2_6_5_1,2,Widget Occlusion
io.github.muntashirakon.AppManager,App_Manager_v3_0_4,App_Manager_v3_1_6_Stable,3,Moved to Subpage
io.github.muntashirakon.AppManager,App_Manager_v2_6_5,App_Manager_v3_0_1_Stable,3,Locator Invalidity
io.github.muntashirakon.AppManager,App_Manager_v3_0_1_Stable,App_Manager_v3_0_4,2,Locator Invalidity
io.github.muntashirakon.AppManager,App_Manager_v3_1_7_Stable,App_Manager_v4_0_4_Stable,2,Locator Invalidity
io.github.muntashirakon.AppManager,App_Manager_v3_1_7_Stable,App_Manager_v4_0_2_Stable,2,Locator Invalidity
io.github.muntashirakon.AppManager,App_Manager_v2_6_3,App_Manager_v3_1_7_Stable,2,Locator Invalidity
io.github.muntashirakon.AppManager,App_Manager_v3_1_5_Stable,App_Manager_v4_0_4_Stable,1,Locator Invalidity
io.github.muntashirakon.AppManager,App_Manager_v2_6_5_1,App_Manager_v4_0_0_Stable,2,Locator Invalidity
io.github.muntashirakon.AppManager,App_Manager_v3_1_5_Stable,App_Manager_v4_0_3_Stable,2,Locator Invalidity
io.github.muntashirakon.AppManager,AppManager_v2_5_22,App_Manager_v2_6_0_Stable,3,Locator Invalidity
io.github.muntashirakon.AppManager,App_Manager_v3_0_4,App_Manager_v3_1_7_Stable,2,Widget Occlusion
io.github.muntashirakon.AppManager,App_Manager_v3_0_1_Stable,App_Manager_v4_0_3_Stable,2,Moved to Subpage
io.github.muntashirakon.AppManager,AppManager_v2_5_22,App_Manager_v2_6_0_Stable,2,Moved to Subpage
io.github.muntashirakon.AppManager,App_Manager_v2_5_24,App_Manager_v2_6_0_Stable,2,Locator Invalidity
com.michaldrabik.showly2,v3_48_0,v3_52_0,3,Locator Invalidity
com.michaldrabik.showly2,v3_48_0,v3_51_0,1,Locator Invalidity
com.michaldrabik.showly2,v3_46_0,v3_50_0,1,Locator Invalidity
com.michaldrabik.showly2,v3_46_0,v3_53_0,3,Locator Invalidity
com.michaldrabik.showly2,v3_48_0,v3_55_0,2,Locator Invalidity
com.michaldrabik.showly2,v3_46_0,v3_54_0,2,Locator Invalidity
com.best.deskclock,Clock_2_9_Clock_2_9-release,Clock_2_24_Clock_2_24-release,3,Locator Invalidity
com.best.deskclock,Clock_2_0_Clock_2_0-release,Clock_2_24_Clock_2_24-release,2,Moved to Another Page
com.best.deskclock,Clock_2_21_Clock_2_21-release,Clock_2_23_Clock_2_23-release,1,Locator Invalidity
com.best.deskclock,Clock_2_21_Clock_2_21-release,Clock_2_24_Clock_2_24-release,2,Locator Invalidity
com.best.deskclock,Clock_2_1_Clock_2_1-release,Clock_2_3_Clock_2_3-release,2,Widget Occlusion
com.best.deskclock,Clock_2_22_Clock_2_22-release,Clock_2_23_Clock_2_23-release,1,Locator Invalidity
com.best.deskclock,Clock_2_20_Clock_2_20-release,Clock_2_24_Clock_2_24-release,2,Locator Invalidity
com.best.deskclock,Clock_2_22_Clock_2_22-release,Clock_2_23_Clock_2_23-release,2,Locator Invalidity
com.best.deskclock,Clock_1_2,Clock_2_24_Clock_2_24-release,1,Locator Invalidity
com.best.deskclock,Clock_2_23_Clock_2_23-release,Clock_2_24_Clock_2_24-release,1,Locator Invalidity
com.mirfatif.permissionmanagerx,v1_03-beta,v1_11,3,Locator Invalidity
com.mirfatif.permissionmanagerx,v1_07,v1_25_PMX_v1_25,3,Moved to Subpage
com.mirfatif.permissionmanagerx,v1_02,v1_21_PMX_v1_21,3,Moved to Another Page
com.mirfatif.permissionmanagerx,v1_11,v1_17_PMX_v1_17,1,Moved to Subpage
com.mirfatif.permissionmanagerx,v1_11,v1_14_PMX_v1_14,3,Moved to Another Page
com.mirfatif.permissionmanagerx,v1_10,v1_25_PMX_v1_25,1,Moved to Subpage
com.mirfatif.permissionmanagerx,v1_06,v1_26_PMX_v1_26,3,Moved to Another Page
com.mirfatif.permissionmanagerx,v1_03-beta,v1_08,1,Locator Invalidity
com.mirfatif.permissionmanagerx,v1_10,v1_17_PMX_v1_17,3,Moved to Subpage
com.mirfatif.permissionmanagerx,v1_10,v1_22_PMX_v1_22,2,Moved to Subpage
com.mirfatif.permissionmanagerx,v1_07,v1_18_PMX_v1_18,1,Moved to Subpage
com.mirfatif.permissionmanagerx,v1_11,v1_14_PMX_v1_14,2,Moved to Subpage
com.mirfatif.permissionmanagerx,v1_08,v1_23_PMX_v1_23,3,Moved to Another Page
com.mirfatif.permissionmanagerx,v1_02,v1_10,2,Locator Invalidity
com.mirfatif.permissionmanagerx,v1_03-beta,v1_12_PMX_v1_12,1,Moved to Another Page
com.mirfatif.permissionmanagerx,v1_08,v1_17_PMX_v1_17,2,Moved to Another Page
com.mirfatif.permissionmanagerx,v1_02,v1_06,3,Moved to Another Page
com.mirfatif.permissionmanagerx,v1_13_PMX_v1_13,v1_29-foss,2,Moved to Subpage
com.mirfatif.permissionmanagerx,v1_05,v1_28-foss,1,Moved to Another Page
com.mirfatif.permissionmanagerx,v1_04,v1_13_PMX_v1_13,2,Moved to Subpage
com.mirfatif.permissionmanagerx,v1_07,v1_23_PMX_v1_23,2,Moved to Subpage
com.mirfatif.permissionmanagerx,v1_26_PMX_v1_26,v1_29-foss,3,Moved to Subpage
com.mirfatif.permissionmanagerx,v1_02,v1_08,3,Locator Invalidity
com.mirfatif.permissionmanagerx,v1_05,v1_12_PMX_v1_12,2,Locator Invalidity
com.mirfatif.permissionmanagerx,v1_02,v1_05,2,Moved to Another Page
com.mirfatif.permissionmanagerx,v1_06,v1_12_PMX_v1_12,2,Moved to Subpage
com.mxt.anitrend,Bump_version_from_1_8_11_to_1_8_12_app-release,Bump_version_from_1_8_13_to_1_9_4_app-release,3,Locator Invalidity
com.mxt.anitrend,Bump_version_from_1_8_10_to_1_8_11_app-release,v1_11_7_app-release,3,Locator Invalidity
com.mxt.anitrend,v1_8_1_Ehancements___Bug_fixes_app-release,Bump_version_from_1_9_9_to_1_9_10_app-release,3,Locator Invalidity
com.mxt.anitrend,v1_8_5_Bug_fixes_app-release,Bump_version_from_1_8_13_to_1_9_4_app-release,2,Locator Invalidity
com.mxt.anitrend,v1_8_5_Bug_fixes_app-release,v1_11_5_app-release,2,Locator Invalidity
com.mxt.anitrend,Bump_version_from_1_8_7_to_1_8_8_app-release,v1_11_1_app-release,2,Locator Invalidity
com.mxt.anitrend,v1_8_5_Bug_fixes_app-release,Bump_version_from_1_9_7_to_1_9_8_app-release,3,Widget Occlusion
com.mxt.anitrend,Bump_version_from_1_9_8_to_1_9_9_app-release,v1_11_2_app-release,3,Locator Invalidity
com.mxt.anitrend,Bump_version_from_1_8_7_to_1_8_8_app-release,v1_11_3_app-release,2,Locator Invalidity
com.mxt.anitrend,Bump_version_from_1_8_10_to_1_8_11_app-release,Bump_version_from_1_8_12_to_1_8_13_app-release,3,Locator Invalidity
org.billthefarmer.editor,Version_1_73,Version_1_83,1,Moved to Subpage
org.billthefarmer.editor,Version_1_58,Version_1_82,3,Moved to Subpage
org.billthefarmer.editor,Version_1_55,Version_1_72,3,Locator Invalidity
org.billthefarmer.editor,Version_1_65,Version_1_82,3,Locator Invalidity
org.billthefarmer.editor,Version_1_53,Version_1_86,3,Moved to Subpage
org.billthefarmer.editor,Version_1_65,Version_1_86,1,Locator Invalidity
org.billthefarmer.editor,Version_1_68,Version_1_82,2,Moved to Subpage
org.billthefarmer.editor,Version_1_51,Version_1_68,2,Moved to Another Page
org.billthefarmer.editor,Version_1_53,Version_1_73,1,Locator Invalidity
org.billthefarmer.editor,Version_1_51,Version_1_81,3,Locator Invalidity
org.billthefarmer.editor,Version_1_58,Version_1_74,1,Locator Invalidity
org.billthefarmer.editor,Version_1_73,Version_1_81,3,Moved to Another Page
org.billthefarmer.editor,Version_1_78,Version_1_82,2,Moved to Subpage
org.billthefarmer.editor,Version_1_52,Version_1_86,2,Moved to Subpage
org.billthefarmer.editor,Version_1_58,Version_1_86,2,Moved to Subpage
org.billthefarmer.editor,Version_1_52,Version_1_81,3,Moved to Subpage
org.billthefarmer.editor,Version_1_51,Version_1_78,2,Locator Invalidity
org.billthefarmer.editor,Version_1_72,Version_1_81,1,Moved to Subpage
org.billthefarmer.editor,Version_1_75,Version_1_78,1,Moved to Subpage
org.billthefarmer.editor,Version_1_54,Version_1_83,3,Locator Invalidity
org.billthefarmer.editor,Version_1_51,Version_1_52,3,Moved to Another Page
org.billthefarmer.editor,Version_1_64,Version_1_81,1,Moved to Subpage
org.billthefarmer.editor,Version_1_52,Version_1_75,2,Locator Invalidity
org.billthefarmer.editor,Version_1_65,Version_1_82,2,Moved to Subpage
org.billthefarmer.editor,Version_1_53,Version_1_68,2,Moved to Subpage
org.billthefarmer.editor,Version_1_74,Version_1_82,1,Moved to Subpage
org.billthefarmer.editor,Version_1_74,Version_1_83,3,Moved to Subpage
org.billthefarmer.editor,Version_1_61,Version_1_86,3,Moved to Subpage
org.billthefarmer.editor,Version_1_53,Version_1_81,2,Moved to Subpage
org.billthefarmer.editor,Version_1_61,Version_1_82,1,Moved to Subpage
org.billthefarmer.editor,Version_1_58,Version_1_81,1,Moved to Subpage
org.billthefarmer.editor,Version_1_72,Version_1_81,2,Moved to Subpage
org.billthefarmer.editor,Version_1_51,Version_1_68,1,Moved to Another Page
org.billthefarmer.editor,Version_1_73,Version_1_78,3,Moved to Subpage
me.tsukanov.counter,Version_31,Version_33,1,Moved to Subpage
me.tsukanov.counter,Version_29,Version_32,2,Locator Invalidity
me.tsukanov.counter,Version_29,Version_31,3,Locator Invalidity
org.michaelbel.moviemade,1_4_4,1_5_2,2,Moved to Subpage
org.secuso.privacyfriendlynotes,Notes__Privacy_Friendly__v1_3_0,Notes__Privacy_Friendly__v2_0_0,3,Locator Invalidity
