repo,package,release_tag,release_name,release_date_utc,asset_original_name,saved_filename,download_url,content_type,size_bytes
sdex/ActivityManager,sdex_ActivityManager,5.4.15,5.4.15,2025-10-01T06:01:42+00:00,ActivityManager-5.4.15.apk,5.4.15.apk,https://github.com/sdex/ActivityManager/releases/download/5.4.15/ActivityManager-5.4.15.apk,application/vnd.android.package-archive,4112725
sdex/ActivityManager,sdex_ActivityManager,5.4.14,5.4.14,2025-09-25T13:42:30+00:00,ActivityManager-5.4.14.apk,5.4.14.apk,https://github.com/sdex/ActivityManager/releases/download/5.4.14/ActivityManager-5.4.14.apk,application/vnd.android.package-archive,4113275
sdex/ActivityManager,sdex_ActivityManager,5.4.13,5.4.13,2025-02-08T06:08:33+00:00,ActivityManager-5.4.13.apk,5.4.13.apk,https://github.com/sdex/ActivityManager/releases/download/5.4.13/ActivityManager-5.4.13.apk,application/vnd.android.package-archive,3935163
sdex/ActivityManager,sdex_ActivityManager,5.4.12,5.4.12,2025-02-01T08:03:10+00:00,ActivityManager-5.4.12.apk,5.4.12.apk,https://github.com/sdex/ActivityManager/releases/download/5.4.12/ActivityManager-5.4.12.apk,application/vnd.android.package-archive,3930467
sdex/ActivityManager,sdex_ActivityManager,5.4.11,5.4.11,2024-03-16T07:41:19+00:00,ActivityManager-5.4.11.apk,5.4.11.apk,https://github.com/sdex/ActivityManager/releases/download/5.4.11/ActivityManager-5.4.11.apk,application/vnd.android.package-archive,3714137
sdex/ActivityManager,sdex_ActivityManager,5.4.10,5.4.10,2024-02-19T07:18:42+00:00,ActivityManager-5.4.10.apk,5.4.10.apk,https://github.com/sdex/ActivityManager/releases/download/5.4.10/ActivityManager-5.4.10.apk,application/vnd.android.package-archive,3990278
sdex/ActivityManager,sdex_ActivityManager,5.4.9,5.4.9,2024-02-14T11:15:26+00:00,ActivityManager-5.4.9.apk,5.4.9.apk,https://github.com/sdex/ActivityManager/releases/download/5.4.9/ActivityManager-5.4.9.apk,application/vnd.android.package-archive,3990165
sdex/ActivityManager,sdex_ActivityManager,5.4.8,5.4.8,2024-02-07T10:40:15+00:00,ActivityManager-5.4.8.apk,5.4.8.apk,https://github.com/sdex/ActivityManager/releases/download/5.4.8/ActivityManager-5.4.8.apk,application/vnd.android.package-archive,4058303
sdex/ActivityManager,sdex_ActivityManager,5.4.7,5.4.7,2024-01-15T14:10:28+00:00,ActivityManager-5.4.7.apk,5.4.7.apk,https://github.com/sdex/ActivityManager/releases/download/5.4.7/ActivityManager-5.4.7.apk,application/vnd.android.package-archive,4053336
sdex/ActivityManager,sdex_ActivityManager,5.4.6,5.4.6,2024-01-06T14:07:42+00:00,ActivityManager-5.4.6.apk,5.4.6.apk,https://github.com/sdex/ActivityManager/releases/download/5.4.6/ActivityManager-5.4.6.apk,application/vnd.android.package-archive,4042547
sdex/ActivityManager,sdex_ActivityManager,5.4.5,5.4.5,2023-10-02T09:46:37+00:00,ActivityManager-5.4.5.apk,5.4.5.apk,https://github.com/sdex/ActivityManager/releases/download/5.4.5/ActivityManager-5.4.5.apk,application/vnd.android.package-archive,4256292
sdex/ActivityManager,sdex_ActivityManager,5.4.4,5.4.4,2023-09-25T14:27:32+00:00,ActivityManager-5.4.4.apk,5.4.4.apk,https://github.com/sdex/ActivityManager/releases/download/5.4.4/ActivityManager-5.4.4.apk,application/vnd.android.package-archive,4255546
sdex/ActivityManager,sdex_ActivityManager,5.4.3,5.4.3,2023-09-18T07:51:38+00:00,ActivityManager-5.4.3.apk,5.4.3.apk,https://github.com/sdex/ActivityManager/releases/download/5.4.3/ActivityManager-5.4.3.apk,application/vnd.android.package-archive,4255558
sdex/ActivityManager,sdex_ActivityManager,5.4.2,5.4.2,2023-09-06T14:04:29+00:00,ActivityManager-5.4.2.apk,5.4.2.apk,https://github.com/sdex/ActivityManager/releases/download/5.4.2/ActivityManager-5.4.2.apk,application/vnd.android.package-archive,4251813
sdex/ActivityManager,sdex_ActivityManager,5.4.1,5.4.1,2023-05-29T07:04:48+00:00,ActivityManager-5.4.1.apk,5.4.1.apk,https://github.com/sdex/ActivityManager/releases/download/5.4.1/ActivityManager-5.4.1.apk,application/vnd.android.package-archive,4239487
